trial_idx,dev_time,trial_len,dev_speaker,dev_direction,right_switches_1,right_switches_2,right_switches_3,left_switches_1,left_switches_2,left_switches_3,left_switches_4,left_switches_5,direction_timing,dev_timer,block_type,trial_order,is_dev,sbj_answer,perf,saliency,is_sal,is_sal_sbjs,is_saldev,is_ctrl,sid,exp_id,condition,switch_index,switch_distance,time_bin,target_bin,target_time_label,time_bin_mean
38,6.5275283446712,8.57977324263039,2,right,3.3,6.0,,2.1,4.5,4.8,7.2,,0.527528344671202,0.760804296346414,object,1,0,0,reject,-3.66574357022268,1,1,0,0,25,13,object,2,0.5275283446712002,"Q20: [0.526893, 0.648594)","Q2: [3.60512, 7.68295]",late,0.5104308390022669
31,1.32512471655329,7.08208616780045,2,right,2.2,4.75,,1.0,3.4,3.55,5.95,,1.32512471655329,0.187109375,object,2,0,1,false,6.08597992747564,0,0,0,0,25,13,object,,,"Q26: [1.32512, 1.4229)","Q1: [0.0, 3.60512)",early,1.37401360544218
48,0.0,8.13859410430839,-1,none,,,,,,,,,-1.0,0.0,object,3,0,0,reject,-1.1961032809446,0,0,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
22,3.32621315192744,6.47836734693878,1,right,2.95,,,1.75,,,,,0.376213151927438,0.513433859767025,object,4,1,1,hit,-1.63737487960126,1,1,1,0,25,13,object,1,0.37621315192743987,"Q19: [0.376213, 0.526893)","Q1: [0.0, 3.60512)",early,0.3919160997732425
13,3.66263038548753,8.13859410430839,2,left,3.0,5.8,,1.8,4.2,4.6,7.0,,-0.537369614512472,0.450032319900143,object,5,0,0,reject,0.778799481481935,0,0,0,0,25,13,object,1,1.86263038548753,"Q7: [-0.54839, -0.459637)","Q2: [3.60512, 7.68295]",late,-0.5682766439909295
21,3.45818594104308,6.32743764172336,1,right,3.1,,,1.9,,,,,0.358185941043084,0.546538130733945,object,6,1,1,hit,5.18588948479685,0,0,0,1,25,13,object,1,0.3581859410430801,"Q18: [0.224308, 0.376213)","Q1: [0.0, 3.60512)",early,0.2779478458049885
33,1.40430839002268,7.30267573696145,2,right,2.5,4.95,,1.3,3.7,3.75,6.15,,1.40430839002268,0.192300526629571,object,7,0,0,reject,-1.4170336039154,1,1,0,0,25,13,object,,,"Q26: [1.32512, 1.4229)","Q1: [0.0, 3.60512)",early,1.37401360544218
42,0.0,9.09061224489796,-1,none,,,,,,,,,-1.0,0.0,object,8,0,1,false,-1.56464599017959,0,0,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
37,7.42290249433107,9.09061224489796,2,right,3.4,6.0,,2.2,4.6,4.8,7.2,,1.42290249433107,0.816545937100894,object,9,0,0,reject,-12.3507079740671,1,1,0,0,25,13,object,2,1.42290249433107,"Q27: [1.4229, 1.59973)","Q2: [3.60512, 7.68295]",late,1.5113151927437651
23,4.2892970521542,7.44199546485261,1,right,2.4,5.1,,1.2,3.6,3.9,6.3,,1.8892970521542,0.576363835803432,object,10,1,1,hit,5.24539153298002,0,0,0,1,25,13,object,1,1.8892970521542005,"Q29: [1.8893, 2.53556]","Q2: [3.60512, 7.68295]",late,2.2124263038548797
26,3.52748299319728,6.60607709750567,1,right,3.4,,,2.2,,,,,0.127482993197279,0.533975450351494,object,11,1,1,hit,-19.1256288692285,1,1,1,0,25,13,object,1,0.12748299319728007,"Q16: [0.112245, 0.144739)","Q1: [0.0, 3.60512)",early,0.07439909297052129
32,1.18730158730159,7.08208616780045,2,right,2.35,4.8,,1.15,3.55,3.6,6.0,,1.18730158730159,0.16764856557377,object,12,0,0,reject,-9.66207425576198,1,1,0,0,25,13,object,,,"Q25: [1.1873, 1.32512)","Q1: [0.0, 3.60512)",early,1.25621315192744
47,0.0,8.44045351473923,-1,none,,,,,,,,,-1.0,0.0,object,13,0,0,reject,1.8855456451613,1,1,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
7,6.81519274376417,9.09061224489796,1,left,2.95,5.8,,1.75,4.15,4.6,7.0,,-0.184807256235827,0.749695681673052,object,14,1,1,hit,-0.0124864097242092,0,0,0,1,25,13,object,3,2.2151927437641703,"Q12: [-0.201587, -0.125261)","Q2: [3.60512, 7.68295]",late,-0.20645124716553298
43,0.0,8.49850340136054,-1,none,,,,,,,,,-1.0,0.0,object,15,0,0,reject,3.07164204824706,1,1,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
46,0.0,8.13859410430839,-1,none,,,,,,,,,-1.0,0.0,object,16,0,1,false,0.0170535759296107,1,1,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
17,3.46190476190476,8.20825396825397,1,right,2.8,5.75,,1.6,4.0,4.55,6.95,,0.661904761904762,0.421758972772277,object,17,1,1,hit,-5.40463872007331,1,1,1,0,25,13,object,1,0.66190476190476,"Q21: [0.648594, 0.684399)","Q1: [0.0, 3.60512)",early,0.6319387755102035
18,3.60512471655329,7.94122448979592,1,right,2.65,5.7,,1.45,3.85,4.5,6.9,,0.955124716553288,0.453975922880117,object,18,1,1,hit,2.41182575598534,0,0,0,1,25,13,object,1,0.9551247165532901,"Q23: [0.83898, 0.972902)","Q2: [3.60512, 7.68295]",late,0.8851587301587305
8,6.85160997732426,8.49850340136054,1,left,2.7,6.2,,1.5,3.9,5.0,7.4,,-0.548390022675737,0.806213712431694,object,19,1,1,hit,4.46276980758858,0,0,0,1,25,13,object,3,1.8516099773242596,"Q7: [-0.54839, -0.459637)","Q2: [3.60512, 7.68295]",late,-0.5682766439909295
41,0.0,8.51011337868481,-1,none,,,,,,,,,-1.0,0.0,object,20,0,1,false,3.34362464675949,1,1,0,1,25,13,object,,,"Q5: [-1.0, -0.677587)","Q1: [0.0, 3.60512)",early,-1.0
28,2.88439909297052,6.9427664399093,1,right,2.2,4.65,,1.0,3.4,3.45,5.85,,0.684399092970521,0.415453856605351,object,21,1,1,hit,2.94544440736211,0,0,0,1,25,13,object,1,0.6843990929705197,"Q22: [0.684399, 0.83898)","Q1: [0.0, 3.60512)",early,0.7419274376417235
2,7.34770975056689,9.09061224489796,1,left,2.45,5.95,,1.25,3.65,4.75,7.15,,0.197709750566893,0.808274465197957,object,22,1,1,hit,-42.5475851710968,1,1,1,0,25,13,object,4,0.19770975056688922,"Q17: [0.144739, 0.224308)","Q2: [3.60512, 7.68295]",late,0.16259637188208598
27,3.87532879818594,7.40716553287982,1,right,2.2,4.85,,1.0,3.4,3.65,6.05,,1.67532879818594,0.523186471394984,object,23,1,1,hit,-1.82776766365504,1,1,1,0,25,13,object,1,1.67532879818594,"Q28: [1.59973, 1.8893)","Q2: [3.60512, 7.68295]",late,1.7445124716553302
11,3.38458049886621,8.13859410430839,2,left,2.4,5.2,,1.2,3.6,4.0,6.4,,-0.215419501133786,0.415867956490727,object,24,0,0,reject,-3.46095182428514,1,1,0,0,25,13,object,1,2.18458049886621,"Q11: [-0.2361, -0.201587)","Q1: [0.0, 3.60512)",early,-0.2717233560090705
1,6.4756462585034,9.55501133786848,1,left,2.3,4.85,8.4,1.1,3.5,3.65,6.05,7.2,0.425646258503401,0.677722509113001,object,25,1,1,hit,-0.819571441975148,0,0,0,1,25,13,object,4,0.42564625850340043,"Q19: [0.376213, 0.526893)","Q2: [3.60512, 7.68295]",late,0.3919160997732425
3,5.86512471655329,8.57977324263039,1,left,2.3,4.85,,1.1,3.5,3.65,6.05,,-0.184875283446712,0.683599035859269,object,26,1,0,miss,-2.51851350474994,1,1,1,0,25,13,object,3,2.2151247165532904,"Q12: [-0.201587, -0.125261)","Q2: [3.60512, 7.68295]",late,-0.20645124716553298
12,3.60575963718821,8.44045351473923,2,left,2.4,5.4,,1.2,3.6,4.2,6.6,,0.00575963718820915,0.427199750687758,object,27,0,0,reject,-1.24510944101104,1,1,0,0,25,13,object,2,0.005759637188210043,"Q15: [0.00575964, 0.112245)","Q2: [3.60512, 7.68295]",late,-0.0233333333333334
36,7.23555555555556,9.55501133786848,2,right,2.2,4.8,8.4,1.0,3.4,3.6,6.0,7.2,2.43555555555556,0.757252430133657,object,28,0,1,false,32.1642715154915,0,0,0,0,25,13,object,2,2.4355555555555606,"Q29: [1.8893, 2.53556]","Q2: [3.60512, 7.68295]",late,2.2124263038548797
6,6.32607709750567,8.51011337868481,1,left,2.4,5.25,,1.2,3.6,4.05,6.45,,-0.123922902494331,0.743359907912688,object,29,1,1,hit,-41.3207494491832,1,1,1,0,25,13,object,3,2.27607709750567,"Q13: [-0.125261, -0.0822222)","Q2: [3.60512, 7.68295]",late,-0.1543990929705215
16,3.54521541950113,8.27791383219955,1,right,2.95,5.5,,1.75,4.15,4.3,6.7,,0.595215419501133,0.428274018232819,object,30,1,1,hit,-1.41663586593331,1,1,1,0,25,13,object,1,0.5952154195011299,"Q20: [0.526893, 0.648594)","Q1: [0.0, 3.60512)",early,0.5104308390022669
